date,article_count,average_tone,article_count_7d_avg,average_tone_7d_avg
2025-11-20,40,1.2835,46.14,0.901
2025-11-21,59,0.2192,46.71,0.7853
2025-11-22,47,0.7231,47.43,0.7694
2025-11-23,34,1.5542,46.14,0.8421
2025-11-24,48,1.1671,46.57,0.8845
2025-11-25,43,1.4082,47.43,1.0033
2025-11-26,45,1.0609,45.14,1.0595
2025-11-27,40,0.4284,45.14,0.9373
2025-11-28,60,0.8653,45.29,1.0296
2025-11-29,52,1.161,46.0,1.0922
2025-11-30,46,0.8883,47.71,0.997
2025-12-01,55,1.0239,48.71,0.9766
2025-12-02,49,1.2303,49.57,0.9512
2025-12-03,59,1.6375,51.57,1.0335
2025-12-04,53,0.9033,53.43,1.1014
2025-12-05,39,1.8235,50.43,1.2383
2025-12-06,58,1.1818,51.29,1.2412
2025-12-07,55,1.7477,52.57,1.364
2025-12-08,57,1.8443,52.86,1.4812
2025-12-09,47,2.2132,52.57,1.6216
2025-12-10,41,1.8341,50.0,1.6497
2025-12-11,55,1.8542,50.29,1.7855
2025-12-12,66,2.2337,54.14,1.8441
2025-12-13,42,0.3429,51.86,1.7243
2025-12-14,58,0.7602,52.29,1.5832
2025-12-15,52,1.8863,51.57,1.5892
2025-12-16,39,0.1297,50.43,1.2916
2025-12-17,54,1.4357,52.29,1.2347
2025-12-18,50,1.4456,51.57,1.1763
2025-12-19,46,0.5278,48.71,0.9326
2025-12-20,51,0.8664,50.0,1.0074
2025-12-21,40,1.7664,47.43,1.1511
2025-12-22,52,1.7205,47.43,1.1274
2025-12-23,45,1.0953,48.29,1.2654
2025-12-24,45,0.9718,47.0,1.1991
2025-12-25,55,1.0477,47.71,1.1423
2025-12-26,56,1.7351,49.14,1.3147
2025-12-27,70,0.7093,51.86,1.2923
2025-12-28,61,1.505,54.86,1.255
2025-12-29,54,0.7025,55.14,1.1095
2025-12-30,51,2.0321,56.0,1.2434
2025-12-31,54,1.6486,57.29,1.34
2026-01-01,52,2.3065,56.86,1.5199
2026-01-02,55,0.3073,56.71,1.3159
2026-01-03,49,0.46,53.71,1.2803
2026-01-04,29,1.337,49.14,1.2563
2026-01-05,66,1.697,50.86,1.3984
2026-01-06,46,1.1181,50.14,1.2678
2026-01-07,65,1.7907,51.71,1.2881
2026-01-08,56,1.6777,52.29,1.1983
2026-01-09,56,2.2067,52.43,1.4696
2026-01-10,61,1.8665,54.14,1.6705
2026-01-11,48,2.0572,56.86,1.7734
2026-01-12,51,2.4204,54.71,1.8768
2026-01-13,47,1.695,54.86,1.9592
2026-01-14,57,0.9962,53.71,1.8457
2026-01-15,71,2.6805,55.86,1.9889
2026-01-16,54,2.2806,55.57,1.9995
2026-01-17,60,0.2627,55.43,1.7704
2026-01-18,60,1.8071,57.14,1.7346
2026-01-19,58,1.2109,58.14,1.5619
2026-01-20,56,1.7631,59.43,1.5716
2026-01-21,68,2.0836,61.0,1.7269
2026-01-22,58,2.8132,59.14,1.7459
2026-01-23,54,1.6749,59.14,1.6594
2026-01-24,44,2.8627,56.86,2.0308
2026-01-25,66,2.4839,57.71,2.1275
2026-01-26,64,2.0123,58.57,2.242
2026-01-27,121,1.8074,67.86,2.2483
2026-01-28,118,2.0034,75.0,2.2368
2026-01-29,131,2.3164,85.43,2.1659
2026-01-30,119,1.6474,94.71,2.1619
2026-01-31,115,2.9686,104.86,2.1771
2026-02-01,64,2.0593,104.57,2.1164
2026-02-02,57,1.365,103.57,2.0239
2026-02-03,59,2.5661,94.71,2.1323
2026-02-04,57,1.917,86.0,2.12
2026-02-05,59,2.1304,75.71,2.0934
2026-02-06,48,1.9345,65.57,2.1344
2026-02-07,54,2.6175,56.86,2.0843
2026-02-08,55,2.4439,55.57,2.1392
2026-02-09,73,1.9202,57.86,2.2185
2026-02-10,56,2.2338,57.43,2.171
2026-02-11,61,1.5331,58.0,2.1162
2026-02-12,65,3.3489,58.86,2.2903
2026-02-13,59,2.0279,60.43,2.3036
2026-02-14,53,2.351,60.29,2.2655
2026-02-15,52,1.5052,59.86,2.1314
2026-02-16,72,1.6356,59.71,2.0908
2026-02-17,71,3.1029,61.86,2.2149
2026-02-18,64,2.5296,62.29,2.3573
2026-02-19,78,2.0886,64.14,2.1773
2026-02-20,57,1.4036,63.86,2.0881
2026-02-21,63,3.1117,65.29,2.1967
2026-02-22,70,1.6675,67.86,2.2199
2026-02-23,56,1.9386,65.57,2.2632
2026-02-24,65,2.126,64.71,2.1237
2026-02-25,64,2.4352,64.71,2.1102
2026-02-26,60,2.2408,62.14,2.1319
2026-02-27,65,2.2221,63.29,2.2488
2026-02-28,67,3.4024,63.86,2.2904
2026-03-01,68,2.3205,63.57,2.3837
2026-03-02,110,2.5267,71.29,2.4677
2026-03-03,108,1.4553,77.43,2.3719
2026-03-04,130,2.731,86.86,2.4141
2026-03-05,122,1.2876,95.71,2.2779
2026-03-06,121,1.9125,103.71,2.2337
2026-03-07,69,3.6802,104.0,2.2734
2026-03-08,65,1.8637,103.57,2.2081
2026-03-09,54,2.3031,95.57,2.1762
2026-03-10,62,1.6511,89.0,2.2042
2026-03-11,65,1.6565,79.71,2.0507
2026-03-12,73,2.9895,72.71,2.2938
2026-03-13,73,2.072,65.86,2.3166
2026-03-14,68,2.2816,65.71,2.1168
2026-03-15,61,2.1615,65.14,2.1593
2026-03-16,54,1.5026,65.14,2.045
2026-03-17,71,2.2579,66.43,2.1317
2026-03-18,66,2.9771,66.57,2.3203
2026-03-19,50,1.9088,63.29,2.1659
2026-03-20,66,2.6175,62.29,2.2439
2026-03-21,61,3.0026,61.29,2.3469
2026-03-22,66,1.6595,62.0,2.2751
2026-03-23,57,2.8732,62.43,2.4709
2026-03-24,68,1.2525,62.0,2.3273
2026-03-25,75,2.7526,63.29,2.2952
2026-03-26,75,2.1652,66.86,2.3319
2026-03-27,62,1.7209,66.29,2.2038
2026-03-28,85,2.2926,69.71,2.1024
2026-03-29,77,2.0104,71.29,2.1525
2026-03-30,66,1.3966,72.57,1.9415
2026-03-31,61,2.9901,71.57,2.1898
2026-04-01,54,3.0433,68.57,2.2313
2026-04-02,67,1.7736,67.43,2.1754
2026-04-03,60,2.1242,67.14,2.233
2026-04-04,64,2.0774,64.14,2.2022
2026-04-05,58,2.2156,61.43,2.2315
2026-04-06,56,1.6236,60.0,2.264
2026-04-07,64,2.9258,60.43,2.2548
2026-04-08,52,2.3967,60.14,2.1624
2026-04-09,59,1.8066,59.0,2.1671
2026-04-10,71,2.08,60.57,2.1608
2026-04-11,76,1.9209,62.29,2.1385
2026-04-12,67,2.25,63.57,2.1434
2026-04-13,58,2.7363,63.86,2.3023
2026-04-14,63,2.7427,63.71,2.2762
2026-04-15,64,1.7262,65.43,2.1804
2026-04-16,63,2.4055,66.0,2.2659
2026-04-17,72,1.827,66.14,2.2298
2026-04-18,64,1.3338,64.43,2.1459
2026-04-19,69,1.7141,64.71,2.0694
2026-04-20,50,2.3232,63.57,2.0104
2026-04-21,73,1.4395,65.0,1.8242
2026-04-22,55,1.9035,63.71,1.8495
2026-04-23,55,2.5722,62.57,1.8733
2026-04-24,57,1.9065,60.43,1.8847
2026-04-25,68,1.8808,61.0,1.9628
2026-04-26,67,1.7457,60.71,1.9673
2026-04-27,114,1.2214,69.86,1.8099
2026-04-28,138,2.1245,79.14,1.9078
2026-04-29,125,2.2918,89.14,1.9633
2026-04-30,125,2.3338,99.14,1.9292
2026-05-01,138,1.674,110.71,1.896
2026-05-02,51,1.6833,108.29,1.8678
2026-05-03,52,2.7316,106.14,2.0086
2026-05-04,70,1.6994,99.86,2.0769
2026-05-05,52,2.0559,87.57,2.0671
2026-05-06,74,0.5693,80.29,1.821
2026-05-07,67,1.6078,72.0,1.7173
2026-05-08,71,1.5984,62.43,1.7065
2026-05-09,60,1.3332,63.71,1.6565
2026-05-10,55,3.06,64.14,1.7034
2026-05-11,69,1.9789,64.0,1.7434
2026-05-12,55,1.0748,64.43,1.6032
2026-05-13,59,2.1836,62.29,1.8338
2026-05-14,61,2.1367,61.43,1.9094
2026-05-15,53,2.1439,58.86,1.9873
2026-05-16,61,2.9485,59.0,2.2181
2026-05-17,76,2.0823,62.0,2.0784
2026-05-18,55,2.1156,60.0,2.0979
2026-05-19,56,1.6992,60.14,2.1871
2026-05-20,61,1.5085,60.43,2.0907
2026-05-21,66,2.0618,61.14,2.08
2026-05-22,63,2.0039,62.57,2.06
2026-05-23,55,1.5342,61.71,1.8579
2026-05-24,59,1.763,59.29,1.8123
2026-05-25,62,2.0786,60.29,1.807
2026-05-26,49,2.1105,59.29,1.8658
2026-05-27,49,1.6891,57.57,1.8916
2026-05-28,58,0.8025,56.43,1.7117
2026-05-29,61,2.1268,56.14,1.7292
2026-05-30,59,1.77,56.71,1.7629
2026-05-31,57,1.4269,56.43,1.7149
2026-06-01,57,1.6694,55.71,1.6565
2026-06-02,60,1.2665,57.29,1.5359
2026-06-03,61,2.0629,59.0,1.5893
2026-06-04,58,1.7012,59.0,1.7177
2026-06-05,63,0.9537,59.29,1.5501
2026-06-06,62,2.0858,59.71,1.5952
2026-06-07,61,2.1575,60.29,1.6996
2026-06-08,53,1.7592,59.71,1.7124
2026-06-09,63,2.1605,60.14,1.8401
2026-06-10,60,0.9808,60.0,1.6855
2026-06-11,96,3.9782,65.43,2.0108
2026-06-12,105,3.4039,71.43,2.3608
2026-06-13,90,3.816,75.43,2.608
2026-06-14,107,1.7179,82.0,2.5452
2026-06-15,116,2.3289,91.0,2.6266
2026-06-16,108,2.83,97.43,2.7222
2026-06-17,134,2.9751,108.0,3.0071
2026-06-18,132,4.233,113.14,3.0435
2026-06-19,148,3.1088,119.29,3.0014
2026-06-20,139,2.4008,126.29,2.7992
2026-06-21,140,3.399,131.0,3.0394
2026-06-22,154,3.1964,136.43,3.1633
2026-06-23,165,2.6532,144.57,3.138
2026-06-24,162,3.5417,148.57,3.219
2026-06-25,172,3.7319,154.29,3.1474
2026-06-26,176,2.89,158.29,3.1161
2026-06-27,181,2.4604,164.29,3.1247
2026-06-28,171,3.3966,168.71,3.1243
2026-06-29,189,3.2195,173.71,3.1276
2026-06-30,181,2.8016,176.0,3.1488
2026-07-01,184,2.4884,179.14,2.9983
2026-07-02,165,2.7922,178.14,2.8641
2026-07-03,185,3.2079,179.43,2.9095
2026-07-04,167,2.9567,177.43,2.9804
2026-07-05,172,1.2956,177.57,2.6803
2026-07-06,159,3.264,173.29,2.6866
2026-07-07,160,3.9448,170.29,2.8499
2026-07-08,158,3.0982,166.57,2.9371
2026-07-09,145,3.3692,163.71,3.0195
2026-07-10,133,2.8592,156.29,2.9697
2026-07-11,139,4.0442,152.29,3.125
2026-07-12,124,2.8271,145.43,3.3438
2026-07-13,121,3.6486,140.0,3.3988
2026-07-14,114,3.7108,133.43,3.3653
2026-07-15,100,2.7041,125.14,3.309
2026-07-16,101,3.2743,118.86,3.2955
2026-07-17,105,1.8834,114.86,3.1561
2026-07-18,84,2.9779,107.0,3.0037
2026-07-19,80,1.8492,100.71,2.864
2026-07-20,60,1.6459,92.0,2.5779
2026-07-21,55,1.0512,83.57,2.198
2026-07-22,59,1.1795,77.71,1.9802
2026-07-23,60,0.7636,71.86,1.6215
2026-07-24,44,1.4206,63.14,1.5554
2026-07-25,45,1.6904,57.57,1.3715
2026-07-26,52,0.7187,53.57,1.21
2026-07-27,51,1.0492,52.29,1.1247
2026-07-28,117,0.8681,61.14,1.0986
2026-07-29,106,1.962,67.86,1.2104
2026-07-30,128,1.2225,77.57,1.2759
2026-07-31,110,1.3423,87.0,1.2647
2026-08-01,122,1.1243,98.0,1.1839
2026-08-02,42,1.2573,96.57,1.2608
2026-08-03,53,0.6779,96.86,1.2078
2026-08-04,36,0.3018,85.29,1.1269
2026-08-05,54,0.6973,77.86,0.9462
2026-08-06,48,1.2685,66.43,0.9528
2026-08-07,54,0.9288,58.43,0.8937
2026-08-08,52,0.5847,48.43,0.8166
2026-08-09,45,0.4931,48.86,0.7074
2026-08-10,57,1.0807,49.43,0.765
2026-08-11,42,0.8749,50.29,0.8469
2026-08-12,46,1.4962,49.14,0.961
2026-08-13,35,0.4432,47.29,0.8431
2026-08-14,45,2.5748,46.0,1.0782
2026-08-15,55,0.9785,46.43,1.1345
2026-08-16,53,2.27,47.57,1.3883
2026-08-17,45,0.806,45.86,1.3491
2026-08-18,57,1.3129,48.0,1.4117
2026-08-19,52,0.7021,48.86,1.2982
2026-08-20,62,2.0236,52.71,1.524
